,Low,High,Open,Close,Volume
2017-06-01 00:00:00+00:00,2302.05,2487.98,2303.61,2419.97,6368.5873815502755
2017-06-02 00:00:00+00:00,2380.39,2478.99,2419.98,2478.99,4354.091375150254
2017-06-03 00:00:00+00:00,2448.0,2599.0,2478.99,2548.05,4649.385382620257
2017-06-04 00:00:00+00:00,2469.99,2556.1,2548.3,2521.36,3779.6594414201527
2017-06-05 00:00:00+00:00,2517.03,2698.0,2521.43,2698.0,4598.257847890176
2017-06-06 00:00:00+00:00,2675.66,2938.54,2698.0,2871.29,7852.495925730706
2017-06-07 00:00:00+00:00,2599.0,2885.0,2871.29,2690.48,5081.128262570467
2017-06-08 00:00:00+00:00,2630.01,2808.75,2690.02,2799.73,4477.424612980176
2017-06-09 00:00:00+00:00,2786.97,2860.21,2799.76,2810.22,4014.9258646601043
2017-06-10 00:00:00+00:00,2801.25,2940.7,2811.37,2933.77,5166.924884720351
2017-06-11 00:00:00+00:00,2881.0,2998.99,2931.16,2998.98,5546.874303770177
2017-06-12 00:00:00+00:00,2465.02,2999.99,2998.98,2653.01,10272.986169020587
2017-06-13 00:00:00+00:00,2649.7,2796.79,2654.36,2709.01,6566.849032590352
2017-06-14 00:00:00+00:00,2330.0,2824.57,2709.02,2432.21,8001.457680930349
2017-06-15 00:00:00+00:00,2050.11,2525.0,2432.21,2409.98,11340.149336660852
2017-06-16 00:00:00+00:00,2289.4,2523.27,2409.98,2480.43,6735.8543257206575
2017-06-17 00:00:00+00:00,2423.7,2678.8,2480.44,2634.94,4715.996074090562
2017-06-18 00:00:00+00:00,2455.01,2670.0,2634.94,2515.25,4083.967424680174
2017-06-19 00:00:00+00:00,2483.23,2597.0,2515.25,2596.98,4273.0018459902
2017-06-20 00:00:00+00:00,2587.71,2774.99,2596.99,2725.12,4829.605493460481
2017-06-21 00:00:00+00:00,2560.01,2781.58,2725.11,2643.35,5029.550697500345
2017-06-22 00:00:00+00:00,2598.0,2724.69,2643.33,2679.99,4046.6657953100976
2017-06-23 00:00:00+00:00,2665.0,2740.8,2679.93,2690.75,2917.1047998100494
2017-06-24 00:00:00+00:00,2503.06,2718.35,2690.76,2574.84,4213.88951638026
2017-06-25 00:00:00+00:00,2430.05,2624.98,2574.86,2505.61,4740.593256100281
2017-06-26 00:00:00+00:00,2258.39,2561.11,2505.61,2407.91,7000.316223780418
2017-06-27 00:00:00+00:00,2264.09,2575.0,2407.91,2575.0,8124.580921850391
2017-06-28 00:00:00+00:00,2457.0,2604.99,2573.22,2553.12,6116.173801460113
2017-06-29 00:00:00+00:00,2510.2,2591.8,2553.13,2531.0,3237.833426830061
2017-06-30 00:00:00+00:00,2446.2,2554.01,2531.16,2455.19,3845.680042070222
2017-07-01 00:00:00+00:00,2400.1,2513.76,2455.19,2423.63,2659.035899800031
2017-07-02 00:00:00+00:00,2385.32,2537.04,2424.08,2516.57,3396.154305050178
2017-07-03 00:00:00+00:00,2479.75,2584.78,2515.37,2542.4,3455.769094040207
2017-07-04 00:00:00+00:00,2542.39,2636.03,2542.41,2602.0,3536.4779602901967
2017-07-05 00:00:00+00:00,2551.37,2630.24,2602.0,2618.48,4032.1020698901934
2017-07-06 00:00:00+00:00,2580.7,2622.99,2616.96,2604.79,4222.402805020169
2017-07-07 00:00:00+00:00,2472.0,2607.54,2604.89,2501.15,4970.390628110226
2017-07-08 00:00:00+00:00,2471.23,2563.44,2501.15,2560.74,3051.504200180117
2017-07-09 00:00:00+00:00,2500.01,2579.23,2560.84,2507.46,2269.972729470022
2017-07-10 00:00:00+00:00,2250.0,2523.0,2508.0,2335.2,4519.430619870332
2017-07-11 00:00:00+00:00,2265.02,2409.99,2330.93,2310.01,4960.18231626049
2017-07-12 00:00:00+00:00,2250.0,2413.73,2310.0,2384.36,5146.283700600279
2017-07-13 00:00:00+00:00,2308.16,2416.79,2384.35,2340.0,4225.747334340117
2017-07-14 00:00:00+00:00,2150.0,2349.0,2340.0,2217.04,4461.516406070214
2017-07-15 00:00:00+00:00,1965.21,2224.8,2217.02,1965.24,4705.789960770349
2017-07-16 00:00:00+00:00,1759.21,2043.89,1964.33,1910.86,5609.777977790514
2017-07-17 00:00:00+00:00,1910.26,2237.01,1911.79,2233.63,7359.524973640514
2017-07-18 00:00:00+00:00,2134.41,2392.04,2235.14,2308.15,7345.012959710446
2017-07-19 00:00:00+00:00,2216.0,2394.39,2307.48,2258.99,5819.982707530541
2017-07-20 00:00:00+00:00,2258.99,2955.9,2258.99,2871.94,8757.87313960064
2017-07-21 00:00:00+00:00,2610.11,2878.56,2873.45,2657.45,6910.269756950446
2017-07-22 00:00:00+00:00,2647.0,2869.42,2661.05,2825.28,3923.522476200138
2017-07-23 00:00:00+00:00,2692.13,2848.0,2825.27,2754.28,3290.164218800019
2017-07-24 00:00:00+00:00,2726.87,2799.2,2755.19,2762.13,3091.1389000500835
2017-07-25 00:00:00+00:00,2449.69,2781.48,2761.68,2564.0,6130.367243900403
2017-07-26 00:00:00+00:00,2404.2,2613.99,2564.0,2525.99,4680.527823380202
2017-07-27 00:00:00+00:00,2514.11,2686.19,2525.98,2664.99,3985.526805790076
2017-07-28 00:00:00+00:00,2656.02,2825.0,2664.99,2786.07,5912.154480790159
2017-07-29 00:00:00+00:00,2656.87,2790.67,2786.07,2700.21,3553.494085990129
2017-07-30 00:00:00+00:00,2560.28,2739.97,2700.2,2723.99,1973.5800401199672
2017-07-31 00:00:00+00:00,2700.0,2899.99,2723.99,2858.43,3470.7089645200845
2017-08-01 00:00:00+00:00,2677.2,2924.91,2856.89,2732.59,2982.5750087699903
2017-08-02 00:00:00+00:00,2650.0,2757.52,2731.6,2699.9,3706.3465826101315
2017-08-03 00:00:00+00:00,2699.89,2799.0,2699.9,2787.05,3519.01047686008
2017-08-04 00:00:00+00:00,2761.15,2877.34,2787.05,2857.34,3099.3324093701012
2017-08-05 00:00:00+00:00,2857.34,3335.0,2857.34,3243.49,6403.99498698035
2017-08-06 00:00:00+00:00,3150.35,3278.42,3243.5,3222.22,3175.110973320024
2017-08-07 00:00:00+00:00,3190.0,3416.0,3222.22,3398.23,4619.115354320154
2017-08-08 00:00:00+00:00,3349.91,3488.84,3398.23,3422.43,6082.657363630291
2017-08-09 00:00:00+00:00,3233.01,3426.42,3423.28,3342.8,5714.333576620257
2017-08-10 00:00:00+00:00,3317.05,3448.0,3342.8,3444.98,4291.09879474014
2017-08-11 00:00:00+00:00,3421.65,3724.94,3444.98,3656.14,6094.343799940274
2017-08-12 00:00:00+00:00,3622.88,3974.0,3656.14,3874.0,6340.4922408402645
2017-08-13 00:00:00+00:00,3852.08,4199.52,3874.0,4060.47,7692.628106630437
2017-08-14 00:00:00+00:00,3985.18,4328.0,4060.47,4320.67,7294.9871571205285
2017-08-15 00:00:00+00:00,3807.15,4434.42,4320.53,4159.93,9703.066834620091
2017-08-16 00:00:00+00:00,3929.0,4385.5,4159.93,4370.01,6641.880222420163
2017-08-17 00:00:00+00:00,4185.34,4469.0,4370.01,4280.01,6766.883667050863
2017-08-18 00:00:00+00:00,3963.13,4350.0,4280.01,4101.72,7354.029802700358
2017-08-19 00:00:00+00:00,4000.0,4186.09,4101.72,4157.41,4646.850378470081
2017-08-20 00:00:00+00:00,4044.52,4182.96,4157.41,4050.99,3298.5522248302664
2017-08-21 00:00:00+00:00,3955.99,4089.99,4050.99,4002.0,4414.566547289787
2017-08-22 00:00:00+00:00,3599.99,4141.0,4002.0,4092.0,7180.283766560507
2017-08-23 00:00:00+00:00,4066.39,4247.88,4092.0,4140.58,4512.23885747
2017-08-24 00:00:00+00:00,4112.76,4349.99,4142.5,4312.03,4200.5877531002425
2017-08-25 00:00:00+00:00,4284.96,4451.46,4312.03,4360.0,4099.010631999741
2017-08-26 00:00:00+00:00,4260.02,4374.39,4360.0,4344.31,2871.9640412198396
2017-08-27 00:00:00+00:00,4309.87,4392.0,4344.32,4340.22,2891.3430115000033
2017-08-28 00:00:00+00:00,4200.0,4396.0,4343.5,4384.99,3451.854541260321
2017-08-29 00:00:00+00:00,4350.0,4641.99,4384.99,4599.0,4424.621769409928
2017-08-30 00:00:00+00:00,4501.01,4635.21,4599.01,4581.98,4038.9749385694927
2017-08-31 00:00:00+00:00,4580.85,4769.03,4581.98,4743.94,5734.473586039688
2017-09-01 00:00:00+00:00,4707.62,4948.0,4743.94,4948.0,6771.31601643972
2017-09-02 00:00:00+00:00,4500.0,4980.0,4948.0,4642.0,6011.961279590124
2017-09-03 00:00:00+00:00,4524.25,4749.97,4642.39,4626.05,4558.325026230401
2017-09-04 00:00:00+00:00,4234.17,4628.05,4626.05,4498.25,6507.358544269745
2017-09-05 00:00:00+00:00,4242.53,4514.95,4498.46,4432.51,5652.443972260634
2017-09-06 00:00:00+00:00,4431.01,4692.0,4432.51,4616.18,5498.126668700724
2017-09-07 00:00:00+00:00,4477.26,4665.44,4616.18,4624.18,3547.121476770102
2017-09-08 00:00:00+00:00,4140.42,4679.99,4624.18,4350.0,6461.9376627403435
2017-09-09 00:00:00+00:00,4181.49,4449.91,4350.0,4334.36,4179.704981520156
2017-09-10 00:00:00+00:00,4139.01,4349.99,4334.36,4251.36,4404.855041580148
2017-09-11 00:00:00+00:00,4115.52,4365.0,4251.36,4210.72,3932.095218020031
2017-09-12 00:00:00+00:00,4080.05,4375.0,4210.72,4164.52,4575.876825830016
2017-09-13 00:00:00+00:00,3730.03,4174.13,4164.52,3855.32,7230.410239680064
2017-09-14 00:00:00+00:00,3230.05,3923.0,3855.61,3249.97,10195.866220920987
2017-09-15 00:00:00+00:00,2975.01,3892.31,3249.99,3740.02,13339.328738140783
2017-09-16 00:00:00+00:00,3600.0,4034.0,3740.02,3726.51,5514.165236569959
2017-09-17 00:00:00+00:00,3480.38,3841.0,3726.51,3719.97,3952.0175267799905
2017-09-18 00:00:00+00:00,3717.56,4124.0,3719.98,4100.0,6319.990203180089
2017-09-19 00:00:00+00:00,3851.0,4125.22,4100.0,3910.11,4499.715043970083
2017-09-20 00:00:00+00:00,3850.01,4044.0,3910.11,3872.06,3697.0949755700267
2017-09-21 00:00:00+00:00,3573.0,3903.57,3872.07,3617.47,5566.683584990492
2017-09-22 00:00:00+00:00,3509.99,3767.74,3617.47,3619.01,4858.496388750489
2017-09-23 00:00:00+00:00,3580.0,3818.89,3619.01,3787.33,2620.49815315002
2017-09-24 00:00:00+00:00,3630.01,3789.36,3787.33,3669.01,2072.375238459944
2017-09-25 00:00:00+00:00,3669.01,3965.36,3669.01,3919.78,3235.81601874988
2017-09-26 00:00:00+00:00,3854.29,3960.0,3919.98,3885.09,2301.908462990061
2017-09-27 00:00:00+00:00,3881.04,4228.39,3885.09,4200.0,5038.546345700529
2017-09-28 00:00:00+00:00,4123.5,4269.95,4200.0,4189.42,3202.297775670036
2017-09-29 00:00:00+00:00,4015.21,4212.99,4189.42,4156.99,3798.3322991199793
2017-09-30 00:00:00+00:00,4143.53,4351.82,4156.99,4339.0,2599.0642249398807
2017-10-01 00:00:00+00:00,4258.68,4396.99,4339.01,4394.81,2218.244987789712
2017-10-02 00:00:00+00:00,4354.99,4470.0,4394.81,4392.71,3605.8132303601665
2017-10-03 00:00:00+00:00,4242.42,4419.95,4392.71,4307.99,3316.781287050027
2017-10-04 00:00:00+00:00,4179.99,4344.0,4307.99,4214.84,2485.2018298800867
2017-10-05 00:00:00+00:00,4150.01,4362.66,4214.84,4322.4,2537.2872847300696
2017-10-06 00:00:00+00:00,4299.99,4406.99,4320.02,4362.99,2795.7080865097237
2017-10-07 00:00:00+00:00,4320.0,4449.42,4363.0,4425.0,1716.9355586501194
2017-10-08 00:00:00+00:00,4421.33,4612.0,4425.0,4603.49,3068.44657481002
2017-10-09 00:00:00+00:00,4561.01,4875.3,4603.5,4769.55,5147.988679389616
2017-10-10 00:00:00+00:00,4703.05,4925.65,4769.55,4750.0,4805.665082899795
2017-10-11 00:00:00+00:00,4720.39,4869.49,4750.0,4814.99,2878.804768460254
2017-10-12 00:00:00+00:00,4809.97,5440.0,4814.99,5440.0,6835.2601769305775
2017-10-13 00:00:00+00:00,5390.0,5865.47,5440.0,5624.8,7562.940004319913
2017-10-14 00:00:00+00:00,5567.86,5839.8,5624.87,5819.13,3612.2758299296165
2017-10-15 00:00:00+00:00,5455.5,5849.83,5819.13,5693.7,3668.8076266000558
2017-10-16 00:00:00+00:00,5575.63,5785.3,5693.7,5754.9,3306.8929323898087
2017-10-17 00:00:00+00:00,5525.21,5769.55,5754.9,5594.0,3252.6374581403716
2017-10-18 00:00:00+00:00,5103.6,5600.0,5593.97,5574.44,6102.68031935053
2017-10-19 00:00:00+00:00,5529.44,5744.8,5574.02,5704.01,3355.860033099962
2017-10-20 00:00:00+00:00,5630.0,6063.99,5704.0,5989.1,5246.941846188845
2017-10-21 00:00:00+00:00,5868.77,6189.1,5989.1,6024.85,5042.111128399979
2017-10-22 00:00:00+00:00,5755.95,6082.18,6024.85,6005.05,3575.5265456200755
2017-10-23 00:00:00+00:00,5651.84,6057.02,6005.05,5905.99,5835.5717504900385
2017-10-24 00:00:00+00:00,5467.6,5906.0,5906.0,5525.43,5646.097802740075
2017-10-25 00:00:00+00:00,5376.72,5765.0,5525.43,5739.97,4888.377201040162
2017-10-26 00:00:00+00:00,5701.0,5985.0,5739.97,5891.61,4042.6407929498064
2017-10-27 00:00:00+00:00,5708.8,5998.0,5891.61,5780.0,3473.1029186200867
2017-10-28 00:00:00+00:00,5715.0,5893.97,5780.0,5752.01,2430.652341740104
2017-10-29 00:00:00+00:00,5729.84,6288.13,5752.01,6140.01,3304.451346800415
2017-10-30 00:00:00+00:00,6028.06,6200.0,6140.01,6124.16,3082.8242556503055
2017-10-31 00:00:00+00:00,6099.0,6472.13,6124.16,6445.01,4826.818332110415
2017-11-01 00:00:00+00:00,6365.57,6783.69,6445.01,6783.69,7448.599796690807
2017-11-02 00:00:00+00:00,6760.6,7445.0,6783.69,7039.98,10030.190683970835
2017-11-03 00:00:00+00:00,6955.89,7449.99,7039.99,7170.01,7136.768535651074
2017-11-04 00:00:00+00:00,7011.37,7498.0,7170.01,7410.0,4274.912628800148
2017-11-05 00:00:00+00:00,7312.0,7630.0,7412.35,7392.0,5048.706004340448
2017-11-06 00:00:00+00:00,6900.73,7432.34,7391.95,6969.76,6589.2442723213
